"ProcessAgeSeconds","Available","DedicatedBytes","SharedBytes","CommittedBytes","WorkingSetBytes","PrivateBytes"
"15,81","True","72130560","197775360","261255168","388509696","400064512"
"26,02","True","73179136","197115904","261644288","355975168","368300032"
"36,1","True","73195520","202711040","267255808","370995200","383115264"
"46,19","True","73179136","197525504","262053888","351399936","363470848"
"56,28","True","73203712","205914112","270467072","375197696","387280896"
"66,41","True","73162752","193019904","257531904","370438144","382464000"
"76,52","True","73195520","203161600","267706368","356982784","368975872"
"86,61","True","73162752","193294336","257806336","367300608","379019264"
"96,7","True","73162752","193294336","257806336","347512832","359223296"
"106,8","True","73162752","193294336","257806336","352972800","364683264"
"116,9","True","73162752","193294336","257806336","347512832","359223296"
"127","True","73162752","192659456","257171456","357367808","369061888"
"137,1","True","73170944","197185536","261705728","351571968","363237376"
"147,18","True","73195520","198266880","262811648","371720192","383361024"
"157,28","True","73179136","197025792","261554176","359309312","370925568"
"167,39","True","73162752","192659456","257171456","363999232","375611392"
"177,49","True","73179136","197570560","262098944","356769792","368381952"
