"ProcessAgeSeconds","Available","DedicatedBytes","SharedBytes","CommittedBytes","WorkingSetBytes","PrivateBytes"
"31,93","True","76308480","226557952","294215680","749604864","890896384"
"42,18","True","76177408","195022848","262549504","665772032","806821888"
"52,3","True","76177408","195022848","262549504","660922368","801947648"
"62,4","True","76177408","195022848","262549504","645230592","786173952"
"72,5","True","76169216","194719744","262238208","650088448","791011328"
"82,61","True","76185600","195633152","263168000","707940352","848781312"
"92,71","True","76185600","195633152","263168000","651689984","792330240"
"105,06","True","76218368","206553088","274120704","657178624","797839360"
"115,16","True","76177408","195747840","263274496","646385664","787017728"
"125,27","True","76169216","194314240","261832704","665849856","806518784"
"135,36","True","76169216","194314240","261832704","654311424","794894336"
"145,45","True","76185600","195182592","262717440","675192832","815800320"
"155,55","True","76185600","195182592","262717440","645844992","786386944"
"165,64","True","76201984","204115968","271667200","655613952","796196864"
"175,74","True","76169216","194158592","261677056","349143040","362954752"
"185,85","True","76161024","194179072","261689344","354902016","370601984"
"195,95","True","76275712","219217920","286842880","373977088","389693440"
"206,05","True","76185600","194879488","262414336","345325568","361025536"
"216,13","True","76169216","195338240","262856704","367132672","382820352"
"226,23","True","76169216","194269184","261787648","353284096","368893952"
"236,32","True","76177408","194813952","262340608","368844800","384475136"
"246,42","True","76169216","194220032","261738496","343912448","359493632"
"256,51","True","76177408","194543616","262070272","348573696","364171264"
"266,62","True","76169216","194203648","261722112","343642112","359223296"
"276,72","True","76185600","198955008","266489856","358731776","374480896"
"286,81","True","76210176","205459456","273018880","373776384","389550080"
"296,92","True","76177408","194609152","262135808","359149568","374878208"
"307,03","True","76177408","194199552","261726208","387657728","402624512"
"317,13","True","76177408","194494464","262021120","350109696","365076480"
"327,23","True","76169216","194813952","262332416","365129728","380182528"
"337,33","True","76185600","199184384","266719232","349941760","364957696"
"347,43","True","76193792","199569408","267112448","351404032","366424064"
"357,52","True","76210176","204455936","272015360","355536896","370565120"
"367,6","True","76169216","194793472","262311936","361037824","375975936"
"377,69","True","76193792","195133440","262676480","365740032","380682240"
"387,77","True","76193792","195133440","262676480","345772032","360677376"
"397,86","True","76185600","194904064","262438912","373100544","388059136"
"407,96","True","76169216","194748416","262266880","361402368","376324096"
"418,03","True","76201984","202850304","270401536","355270656","370180096"
"428,11","True","76169216","194449408","261967872","350707712","365592576"
"438,16","True","76169216","194449408","261967872","345141248","359985152"
"448,23","True","76169216","194449408","261967872","345141248","359985152"
"458,3","True","76169216","194449408","261967872","345141248","359985152"
"468,38","True","76169216","194449408","261967872","345141248","359985152"
"478,46","True","76169216","194449408","261967872","345120768","359948288"
"488,54","True","76169216","194449408","261967872","345120768","359948288"
"498,62","True","76169216","194449408","261967872","345120768","359948288"
"508,7","True","76169216","194449408","261967872","345120768","359948288"
"518,78","True","76169216","194449408","261967872","345120768","359948288"
"528,85","True","76169216","194449408","261967872","345120768","359948288"
"538,93","True","76169216","194449408","261967872","345120768","359948288"
"549","True","76169216","194449408","261967872","345104384","359919616"
"559,08","True","76169216","194449408","261967872","345104384","359919616"
"569,18","True","76169216","194449408","261967872","345104384","359919616"
"579,26","True","76169216","194449408","261967872","345104384","359919616"
"589,34","True","76161024","189878272","257388544","345165824","359997440"
"599,41","True","76161024","189878272","257388544","340566016","355368960"
"609,5","True","76161024","189607936","257118208","350048256","364793856"
